"id_track";"id_marine";"lat";"lon";"speed";"course";"age";"date_add"
"340695";"719";"40,903";"140,789";"60";"129";"377";"2016-07-01 21:34:00"
"340696";"869";"41,0281";"139,683";"119";"234";"421";"2016-07-01 21:34:00"
"340697";"711";"41,0134";"139,656";"119";"234";"413";"2016-07-01 21:34:00"
"340698";"870";"41,1094";"140,828";"124";"214";"1319";"2016-07-01 21:34:00"
"340699";"711";"41,0491";"140,647";"1";"277";"1270";"2016-07-01 21:34:00"
"340700";"871";"41,0698";"139,675";"155";"226";"510";"2016-07-01 21:34:00"
